Model,Year,Region,Color,Fuel Type,Base Price (USD),Horsepower,Sales Volume,Turbo
GLA,2023,Global,Grey,Petrol,58369,390,1,Yes
GLC,2021,Global,Black,Petrol,78687,282,1,No
AMG GT,2021,Global,Blue,Petrol,264530,616,1,Yes
GLE,2022,Global,Black,Hybrid,82895,541,1,Yes
C-Class,2023,Global,Silver,Diesel,52558,429,1,Yes
A-Class,2025,Global,Black,Petrol,82697,169,1,Yes
GLC,2023,Global,Grey,Hybrid,83788,482,1,Yes
E-Class,2021,Global,Grey,Diesel,72564,401,1,Yes
GLE,2021,Global,Black,Petrol,122418,298,1,Yes
GLE,2022,Global,White,Hybrid,113135,437,1,Yes
GLC,2020,Global,Brown,Petrol,136036,345,1,Yes
GLE,2022,Global,White,Petrol,96932,443,1,No
GLC,2021,Global,Black,Petrol,141744,278,1,Yes
GLB,2023,Global,Grey,Hybrid,93176,164,1,Yes
GLB,2021,Global,Black,Petrol,45797,235,1,No
A-Class,2023,Global,Grey,Petrol,96964,361,1,Yes
GLE,2024,Global,Grey,Electric,139062,465,1,Yes
GLC,2022,Global,Blue,Petrol,146622,241,1,Yes
GLA,2020,Global,Silver,Petrol,41929,215,1,Yes
A-Class,2020,Global,Silver,Petrol,41958,207,1,Yes
CLA,2024,Global,Brown,Diesel,54613,306,1,Yes
C-Class,2022,Global,Silver,Petrol,84654,486,1,Yes
GLA,2021,Global,White,Petrol,73429,163,1,Yes
GLA,2023,Global,White,Hybrid,56196,219,1,Yes
C-Class,2021,Global,Black,Petrol,86037,259,1,No
GLE,2021,Global,Yellow,Petrol,123969,340,1,Yes
E-Class,2025,Global,Black,Electric,41874,542,1,Yes
GLC,2020,Global,Green,Petrol,69796,315,1,Yes
A-Class,2023,Global,Silver,Diesel,87418,421,1,No
GLE,2024,Global,Grey,Diesel,138397,525,1,Yes
A-Class,2022,Global,Grey,Hybrid,45886,299,1,Yes
GLS,2023,Global,Silver,Petrol,251114,519,1,Yes
A-Class,2024,Global,White,Petrol,58771,370,1,Yes
GLC,2023,Global,Blue,Diesel,121899,463,1,Yes
GLB,2021,Global,Black,Diesel,82431,421,1,Yes
E-Class,2020,Global,Grey,Diesel,40373,394,1,Yes
C-Class,2022,Global,White,Petrol,86267,380,1,Yes
GLC,2024,Global,Black,Petrol,102415,421,1,Yes
GLE,2022,Global,Black,Petrol,121518,425,1,Yes
GLA,2022,Global,Grey,Electric,64161,213,1,Yes
C-Class,2025,Global,Grey,Electric,55897,489,1,Yes
GLC,2022,Global,Silver,Diesel,119319,412,1,No
GLS,2023,Global,White,Hybrid,383810,367,1,Yes
GLA,2023,Global,Grey,Petrol,79795,356,1,Yes
A-Class,2022,Global,Blue,Petrol,87719,202,1,No
GLB,2022,Global,Blue,Petrol,44922,419,1,Yes
CLA,2021,Global,Black,Petrol,77930,272,1,Yes
E-Class,2025,Global,White,Petrol,47334,509,1,Yes
A-Class,2020,Global,White,Petrol,65220,412,1,Yes
GLC,2024,Global,Black,Hybrid,111684,462,1,Yes
GLA,2024,Global,Grey,Petrol,91258,382,1,Yes
A-Class,2020,Global,Grey,Diesel,67627,174,1,Yes
GLA,2024,Global,Grey,Electric,60687,253,1,Yes
GLC,2025,Global,Black,Electric,157663,223,1,Yes
A-Class,2023,Global,Red,Hybrid,65796,400,1,No
C-Class,2021,Global,Black,Petrol,39426,451,1,Yes
C-Class,2022,Global,Blue,Petrol,90339,315,1,Yes
CLA,2020,Global,Blue,Diesel,88254,248,1,Yes
GLB,2023,Global,Silver,Hybrid,62326,419,1,Yes
A-Class,2024,Global,Blue,Hybrid,99320,393,1,Yes
A-Class,2023,Global,Silver,Hybrid,91722,319,1,No
A-Class,2022,Global,Grey,Petrol,60589,303,1,Yes
GLB,2021,Global,Black,Diesel,75814,235,1,No
GLC,2024,Global,Silver,Hybrid,103050,381,1,Yes
GLC,2021,Global,Black,Hybrid,123968,262,1,Yes
A-Class,2023,Global,Grey,Diesel,66649,348,1,Yes
E-Class,2020,Global,Blue,Petrol,51240,349,1,Yes
GLC,2023,Global,Blue,Hybrid,129713,436,1,Yes
A-Class,2023,Global,Green,Petrol,75268,158,1,Yes
A-Class,2024,Global,Black,Petrol,51816,311,1,No
GLA,2022,Global,Orange,Petrol,49543,226,1,No
E-Class,2023,Global,Red,Petrol,72753,203,1,No
GLC,2024,Global,Grey,Petrol,123081,385,1,Yes
S-Class,2021,Global,Grey,Petrol,201223,746,1,Yes
A-Class,2025,Global,Black,Electric,91805,408,1,Yes
GLE,2021,Global,Grey,Petrol,89476,390,1,Yes
GLE,2024,Global,Grey,Electric,154485,496,1,Yes
A-Class,2024,Global,White,Hybrid,50626,379,1,Yes
CLS,2025,Global,White,Electric,47418,359,1,Yes
C-Class,2023,Global,White,Diesel,98089,238,1,Yes
E-Class,2024,Global,Silver,Hybrid,92967,463,1,Yes
S-Class,2021,Global,Black,Petrol,185993,521,1,Yes
CLS,2024,Global,Red,Petrol,100696,373,1,Yes
A-Class,2025,Global,Yellow,Electric,97506,301,1,Yes
A-Class,2022,Global,Black,Diesel,38130,326,1,Yes
GLB,2022,Global,Black,Diesel,76354,357,1,Yes
GLA,2025,Global,White,Hybrid,101796,339,1,Yes
G-Class,2023,Global,Black,Hybrid,385812,466,1,Yes
E-Class,2021,Global,Blue,Hybrid,72713,442,1,Yes
GLA,2021,Global,Red,Diesel,70925,239,1,Yes
GLC,2024,Global,Silver,Petrol,155874,381,1,Yes
CLA,2022,Global,Grey,Diesel,74045,280,1,Yes
GLB,2023,Global,Black,Diesel,81086,260,1,Yes
GLA,2024,Global,Grey,Diesel,53651,273,1,Yes
A-Class,2024,Global,Silver,Petrol,47563,400,1,Yes
GLC,2022,Global,Red,Hybrid,157569,315,1,Yes
CLS,2022,Global,Grey,Petrol,49341,364,1,Yes
GLE,2024,Global,Black,Petrol,76497,383,1,Yes
CLA,2020,Global,Silver,Diesel,44563,289,1,Yes
GLE,2021,Global,Grey,Petrol,154086,382,1,Yes
A-Class,2025,Global,White,Hybrid,105275,394,1,No
GLB,2021,Global,Black,Petrol,59944,313,1,Yes
A-Class,2023,Global,Green,Petrol,41304,285,1,Yes
C-Class,2020,Global,White,Petrol,39436,353,1,Yes
E-Class,2021,Global,White,Petrol,54609,334,1,Yes
GLC,2022,Global,Silver,Diesel,98538,262,1,Yes
CLA,2022,Global,Yellow,Hybrid,81030,366,1,No
C-Class,2022,Global,Yellow,Petrol,65595,278,1,Yes
GLB,2020,Global,White,Petrol,54016,329,1,Yes
GLA,2020,Global,Black,Diesel,38940,305,1,No
GLE,2021,Global,Black,Diesel,106972,482,1,Yes
GLC,2021,Global,Black,Diesel,69383,427,1,Yes
E-Class,2021,Global,White,Petrol,48074,305,1,Yes
E-Class,2024,Global,Black,Petrol,71196,471,1,Yes
GLE,2023,Global,Blue,Hybrid,115431,326,1,Yes
GLE,2020,Global,Blue,Petrol,114315,521,1,Yes
C-Class,2023,Global,Black,Hybrid,90277,248,1,Yes
A-Class,2025,Global,Blue,Hybrid,73782,351,1,Yes
A-Class,2024,Global,Brown,Diesel,81401,171,1,Yes
S-Class,2024,Global,Blue,Petrol,393858,467,1,Yes
GLC,2024,Global,Grey,Hybrid,134022,299,1,Yes
GLC,2020,Global,Black,Petrol,92384,261,1,Yes
A-Class,2022,Global,Silver,Diesel,45013,267,1,Yes
C-Class,2022,Global,Brown,Petrol,92222,455,1,Yes
CLA,2022,Global,Grey,Petrol,81437,236,1,No
E-Class,2024,Global,Black,Petrol,52860,478,1,Yes
GLB,2024,Global,Black,Petrol,71758,342,1,Yes
GLE,2020,Global,Black,Diesel,137579,436,1,Yes
CLA,2023,Global,White,Hybrid,93327,212,1,Yes
E-Class,2023,Global,Black,Petrol,52237,556,1,Yes
GLE,2023,Global,Green,Petrol,79524,278,1,Yes
GLE,2025,Global,White,Hybrid,170825,381,1,Yes
GLS,2021,Global,Grey,Petrol,220829,360,1,Yes
GLE,2025,Global,White,Electric,125548,571,1,Yes
GLC,2024,Global,Black,Petrol,121239,414,1,Yes
C-Class,2025,Global,White,Hybrid,45712,230,1,No
A-Class,2021,Global,Black,Petrol,88721,347,1,Yes
GLC,2024,Global,Silver,Hybrid,124000,372,1,Yes
GLC,2023,Global,White,Electric,163842,273,1,Yes
GLB,2022,Global,Black,Petrol,69532,162,1,Yes
G-Class,2023,Global,White,Diesel,187154,492,1,Yes
GLA,2022,Global,Yellow,Petrol,92276,306,1,Yes
GLS,2025,Global,Grey,Hybrid,232637,349,1,Yes
GLA,2024,Global,White,Petrol,81742,261,1,Yes
A-Class,2025,Global,Black,Electric,90272,311,1,Yes
A-Class,2023,Global,Red,Hybrid,83412,216,1,Yes
GLE,2022,Global,Blue,Petrol,104450,582,1,Yes
GLC,2024,Global,White,Diesel,71202,258,1,No
GLS,2024,Global,Silver,Hybrid,362439,520,1,Yes
A-Class,2024,Global,Red,Hybrid,90625,292,1,No
A-Class,2024,Global,Brown,Petrol,66487,179,1,Yes
E-Class,2023,Global,Black,Petrol,50115,524,1,No
GLC,2020,Global,Black,Diesel,139717,411,1,Yes
AMG E 63,2021,Global,White,Petrol,218514,578,1,Yes
GLC,2025,Global,Black,Electric,168828,355,1,Yes
GLE,2022,Global,Grey,Hybrid,90400,408,1,Yes
GLB,2023,Global,Blue,Electric,45500,170,1,Yes
GLC,2021,Global,White,Petrol,136351,489,1,Yes
C-Class,2023,Global,Black,Diesel,46243,315,1,Yes
G-Class,2022,Global,Grey,Petrol,373554,500,1,Yes
CLA,2025,Global,Black,Hybrid,87841,200,1,Yes
E-Class,2024,Global,Blue,Diesel,45302,251,1,No
S-Class,2023,Global,Silver,Hybrid,379495,343,1,Yes
CLS,2022,Global,White,Hybrid,82200,434,1,Yes
CLS,2024,Global,Black,Petrol,61339,483,1,Yes
GLB,2021,Global,Grey,Petrol,89726,381,1,Yes
GLC,2023,Global,White,Petrol,96506,360,1,No
S-Class,2023,Global,Black,Petrol,369959,313,1,Yes
A-Class,2022,Global,Silver,Petrol,64895,375,1,Yes
AMG A 45,2024,Global,Grey,Petrol,168445,394,1,Yes
GLC,2024,Global,White,Petrol,137281,246,1,Yes
GLS,2021,Global,Grey,Diesel,315967,407,1,Yes
GLC,2025,Global,White,Electric,113163,220,1,Yes
GLS,2022,Global,Silver,Petrol,245246,583,1,Yes
GLE,2023,Global,Blue,Petrol,164625,500,1,Yes
G-Class,2023,Global,White,Diesel,342163,440,1,Yes
C-Class,2025,Global,White,Hybrid,69441,284,1,Yes
GLA,2021,Global,White,Hybrid,84294,303,1,Yes
A-Class,2024,Global,Blue,Electric,73390,379,1,No
CLS,2023,Global,Silver,Hybrid,84219,300,1,Yes
GLE,2025,Global,Green,Hybrid,88448,281,1,Yes
GLB,2020,Global,White,Petrol,60208,334,1,Yes
GLC,2021,Global,Grey,Petrol,128100,486,1,Yes
GLE,2023,Global,Black,Petrol,126715,411,1,No
C-Class,2023,Global,Silver,Petrol,40609,246,1,Yes
E-Class,2023,Global,Silver,Diesel,74868,364,1,Yes
C-Class,2022,Global,Blue,Petrol,84052,469,1,Yes
C-Class,2022,Global,Red,Petrol,38658,352,1,Yes
GLC,2024,Global,Silver,Electric,121148,405,1,Yes
A-Class,2021,Global,Green,Petrol,59656,383,1,No
E-Class,2024,Global,White,Petrol,87810,287,1,Yes
GLC,2024,Global,Yellow,Petrol,100193,244,1,No
E-Class,2023,Global,Black,Hybrid,77857,571,1,Yes
GLE,2023,Global,Black,Hybrid,78601,603,1,Yes
A-Class,2022,Global,Silver,Diesel,79946,168,1,No
CLS,2023,Global,Black,Electric,40168,491,1,Yes
GLB,2021,Global,Orange,Petrol,90728,344,1,Yes
CLA,2025,Global,White,Hybrid,86290,275,1,No
GLE,2023,Global,Black,Hybrid,86651,307,1,Yes
C-Class,2021,Global,Red,Hybrid,40833,240,1,Yes
CLA,2024,Global,Black,Petrol,40651,246,1,No
GLC,2024,Global,Grey,Petrol,70670,262,1,Yes
GLS,2023,Global,White,Petrol,304414,435,1,No
GLA,2023,Global,Black,Petrol,41876,339,1,Yes
A-Class,2023,Global,Black,Petrol,85771,350,1,Yes
GLC,2025,Global,Black,Hybrid,115282,260,1,Yes
GLE,2025,Global,Silver,Petrol,115276,289,1,Yes
GLE,2024,Global,Grey,Petrol,79973,405,1,No
GLA,2021,Global,Blue,Petrol,71464,297,1,Yes
GLS,2024,Global,White,Hybrid,177397,507,1,Yes
A-Class,2023,Global,Black,Hybrid,69623,367,1,No
E-Class,2021,Global,Black,Hybrid,76852,472,1,Yes
GLE,2022,Global,Black,Diesel,131623,495,1,Yes
GLE,2024,Global,White,Hybrid,151654,355,1,Yes
GLS,2021,Global,Red,Petrol,275432,350,1,Yes
GLS,2024,Global,White,Diesel,319425,351,1,Yes
GLA,2020,Global,Silver,Petrol,53163,267,1,Yes
GLC,2021,Global,Red,Petrol,102250,205,1,Yes
C-Class,2025,Global,Blue,Petrol,68865,245,1,Yes
GLA,2024,Global,Grey,Petrol,74179,282,1,Yes
GLC,2025,Global,Red,Electric,72125,410,1,No
GLS,2024,Global,Silver,Diesel,304348,339,1,Yes
GLE,2025,Global,Blue,Hybrid,150973,355,1,Yes
GLE,2020,Global,Grey,Petrol,63149,537,1,Yes
E-Class,2024,Global,White,Hybrid,49654,451,1,Yes
AMG E 63,2021,Global,Blue,Petrol,338198,573,1,Yes
A-Class,2025,Global,White,Petrol,96017,222,1,Yes
S-Class,2023,Global,Black,Diesel,257919,763,1,Yes
E-Class,2024,Global,Black,Hybrid,55677,309,1,Yes
GLC,2025,Global,Black,Petrol,150458,473,1,Yes
GLC,2021,Global,Black,Petrol,63241,283,1,No
CLA,2022,Global,White,Hybrid,92051,340,1,Yes
S-Class,2020,Global,Silver,Diesel,278163,695,1,Yes
GLC,2022,Global,Silver,Hybrid,80301,386,1,No
GLC,2025,Global,Silver,Petrol,159600,218,1,No
E-Class,2023,Global,Black,Diesel,97838,355,1,Yes
GLA,2020,Global,Silver,Diesel,88045,248,1,Yes
GLC,2021,Global,Green,Petrol,63944,217,1,Yes
GLC,2023,Global,Black,Petrol,148010,449,1,Yes
GLE,2021,Global,Blue,Petrol,92101,469,1,Yes
E-Class,2024,Global,Brown,Petrol,67785,258,1,Yes
E-Class,2022,Global,Black,Petrol,94567,423,1,No
CLA,2020,Global,Black,Petrol,38967,304,1,Yes
GLE,2025,Global,Yellow,Petrol,94529,520,1,Yes
GLE,2023,Global,Black,Petrol,133309,276,1,Yes
GLA,2025,Global,Black,Electric,80236,333,1,Yes
A-Class,2024,Global,Grey,Hybrid,80650,165,1,Yes
G-Class,2023,Global,Green,Diesel,304345,432,1,Yes
GLS,2025,Global,Black,Hybrid,295362,393,1,Yes
GLS,2024,Global,White,Electric,379788,382,1,Yes
GLE,2023,Global,Black,Petrol,119238,415,1,Yes
GLC,2024,Global,White,Petrol,85037,322,1,Yes
C-Class,2021,Global,Grey,Petrol,65822,201,1,Yes
A-Class,2023,Global,White,Petrol,75166,410,1,Yes
AMG C 63,2024,Global,White,Diesel,307147,485,1,Yes
E-Class,2023,Global,Red,Petrol,83774,211,1,Yes
E-Class,2023,Global,Blue,Petrol,53283,403,1,Yes
GLA,2022,Global,Silver,Hybrid,77216,233,1,Yes
A-Class,2023,Global,White,Electric,81121,364,1,Yes
C-Class,2025,Global,Green,Hybrid,60158,334,1,Yes
E-Class,2021,Global,White,Petrol,81223,543,1,Yes
CLS,2021,Global,White,Petrol,54699,330,1,Yes
C-Class,2020,Global,White,Petrol,51119,341,1,Yes
GLC,2023,Global,Silver,Petrol,137470,394,1,Yes
GLA,2023,Global,Grey,Petrol,51922,416,1,Yes
A-Class,2021,Global,Black,Hybrid,43165,252,1,No
C-Class,2025,Global,Grey,Electric,85443,342,1,Yes
GLA,2021,Global,Black,Diesel,83166,300,1,Yes
A-Class,2025,Global,Silver,Petrol,52291,319,1,Yes
GLB,2025,Global,Yellow,Petrol,89103,166,1,Yes
C-Class,2020,Global,White,Petrol,63042,399,1,Yes
A-Class,2024,Global,Black,Hybrid,60131,329,1,Yes
GLE,2025,Global,Green,Hybrid,142316,266,1,Yes
CLA,2023,Global,Green,Hybrid,48004,272,1,Yes
GLB,2023,Global,Red,Petrol,60339,302,1,Yes
E-Class,2022,Global,White,Petrol,40423,454,1,Yes
C-Class,2020,Global,Black,Petrol,57340,259,1,No
GLC,2024,Global,White,Hybrid,88794,435,1,Yes
GLC,2021,Global,Black,Hybrid,154097,492,1,Yes
A-Class,2023,Global,Black,Petrol,77260,326,1,Yes
GLE,2021,Global,Orange,Petrol,83446,437,1,Yes
C-Class,2020,Global,Black,Petrol,88766,388,1,No
GLS,2023,Global,White,Petrol,233779,507,1,No
GLC,2024,Global,Grey,Electric,128072,319,1,Yes
GLC,2023,Global,White,Petrol,149162,259,1,No
E-Class,2025,Global,White,Electric,90002,254,1,No
C-Class,2023,Global,White,Hybrid,75674,294,1,Yes
A-Class,2021,Global,Yellow,Petrol,76343,276,1,Yes
A-Class,2022,Global,Silver,Petrol,89692,293,1,Yes
E-Class,2025,Global,Green,Electric,72070,425,1,Yes
A-Class,2022,Global,Grey,Petrol,91302,295,1,Yes
GLE,2024,Global,Blue,Petrol,130931,300,1,Yes
GLA,2023,Global,Silver,Diesel,61710,274,1,Yes
C-Class,2020,Global,White,Petrol,40379,245,1,Yes
GLC,2021,Global,Blue,Petrol,109373,492,1,Yes
C-Class,2021,Global,Black,Hybrid,85647,312,1,Yes
C-Class,2021,Global,Grey,Diesel,75351,208,1,Yes
A-Class,2023,Global,White,Petrol,64257,205,1,No
GLE,2025,Global,White,Petrol,89328,335,1,Yes
C-Class,2021,Global,Grey,Petrol,42118,230,1,Yes
CLA,2022,Global,Silver,Petrol,63616,420,1,Yes
GLC,2022,Global,Black,Petrol,110960,210,1,Yes
GLB,2023,Global,White,Hybrid,60433,282,1,Yes
AMG C 63,2023,Global,White,Petrol,165859,498,1,Yes
GLC,2022,Global,Silver,Hybrid,119517,363,1,Yes
AMG C 63,2025,Global,Grey,Petrol,335158,508,1,Yes
C-Class,2023,Global,Black,Petrol,81274,352,1,Yes
GLC,2020,Global,White,Diesel,99028,267,1,Yes
CLA,2023,Global,Black,Hybrid,45937,409,1,Yes
A-Class,2025,Global,Blue,Electric,80138,252,1,Yes
GLA,2020,Global,Grey,Diesel,84103,169,1,Yes
GLS,2023,Global,White,Diesel,312446,496,1,Yes
A-Class,2020,Global,White,Diesel,81373,170,1,No
GLC,2023,Global,Red,Diesel,153171,266,1,Yes
S-Class,2023,Global,Black,Diesel,198811,742,1,Yes
GLB,2020,Global,Grey,Petrol,81124,356,1,Yes
A-Class,2023,Global,White,Diesel,57900,354,1,No
GLC,2023,Global,Grey,Hybrid,91782,254,1,Yes
A-Class,2024,Global,Red,Petrol,44171,209,1,Yes
A-Class,2022,Global,Blue,Diesel,47998,370,1,Yes
A-Class,2021,Global,Silver,Petrol,80491,355,1,Yes
GLE,2023,Global,Black,Petrol,135074,597,1,Yes
GLA,2025,Global,Yellow,Electric,100604,179,1,Yes
A-Class,2021,Global,Silver,Petrol,89036,194,1,Yes
GLE,2022,Global,Silver,Petrol,82706,597,1,No
GLC,2025,Global,Brown,Hybrid,99731,474,1,Yes
GLA,2024,Global,Blue,Petrol,70424,370,1,Yes
GLC,2023,Global,Black,Hybrid,130416,461,1,Yes
GLC,2020,Global,Black,Petrol,115003,204,1,Yes
GLC,2021,Global,Grey,Hybrid,151772,322,1,Yes
A-Class,2025,Global,White,Hybrid,67748,369,1,Yes
E-Class,2020,Global,White,Petrol,45539,336,1,Yes
GLE,2023,Global,White,Petrol,138333,374,1,Yes
C-Class,2024,Global,White,Electric,92511,397,1,No
A-Class,2024,Global,Black,Electric,56555,152,1,Yes
GLE,2020,Global,Grey,Petrol,149068,283,1,Yes
GLA,2021,Global,Black,Diesel,37007,335,1,Yes
GLE,2025,Global,White,Electric,79957,449,1,No
E-Class,2021,Global,Orange,Petrol,61170,312,1,Yes
AMG A 45,2022,Global,White,Diesel,293827,419,1,Yes
E-Class,2025,Global,White,Petrol,69743,251,1,No
CLA,2022,Global,White,Petrol,88139,402,1,Yes
GLE,2023,Global,Silver,Diesel,164463,561,1,Yes
GLB,2025,Global,White,Hybrid,72411,353,1,Yes
E-Class,2025,Global,Black,Hybrid,104320,204,1,Yes
GLE,2021,Global,Yellow,Diesel,97609,276,1,Yes
GLS,2025,Global,Black,Electric,295164,416,1,Yes
CLA,2025,Global,Black,Hybrid,69027,383,1,Yes
AMG A 45,2025,Global,Red,Petrol,243197,420,1,Yes
CLA,2025,Global,Black,Diesel,84312,349,1,Yes
GLC,2025,Global,White,Electric,125535,297,1,Yes
E-Class,2020,Global,Silver,Petrol,39939,242,1,Yes
AMG C 63,2023,Global,Blue,Hybrid,286893,490,1,Yes
GLS,2020,Global,Black,Diesel,130503,403,1,Yes
GLC,2024,Global,Red,Petrol,136892,374,1,Yes
C-Class,2023,Global,Grey,Petrol,44586,463,1,Yes
S-Class,2021,Global,White,Petrol,221847,606,1,Yes
CLS,2021,Global,Grey,Petrol,70847,460,1,Yes
GLE,2022,Global,Black,Hybrid,159699,410,1,Yes
GLB,2022,Global,Silver,Petrol,50833,321,1,No
E-Class,2021,Global,Red,Petrol,73460,339,1,Yes
GLC,2023,Global,Silver,Petrol,116019,289,1,Yes
S-Class,2022,Global,Black,Petrol,155466,671,1,Yes
A-Class,2024,Global,Blue,Diesel,67684,164,1,Yes
A-Class,2024,Global,White,Hybrid,47315,402,1,Yes
E-Class,2023,Global,Silver,Petrol,48222,559,1,Yes
A-Class,2025,Global,Red,Hybrid,95769,158,1,Yes
GLC,2025,Global,Silver,Hybrid,95767,450,1,Yes
GLB,2021,Global,White,Petrol,60646,393,1,Yes
CLA,2024,Global,Red,Electric,72402,389,1,Yes
GLE,2021,Global,Yellow,Hybrid,129557,396,1,Yes
GLB,2025,Global,White,Hybrid,97951,266,1,Yes
GLC,2025,Global,White,Hybrid,143867,392,1,Yes
A-Class,2024,Global,White,Petrol,53160,352,1,No
A-Class,2024,Global,Black,Hybrid,73827,317,1,Yes
C-Class,2024,Global,Black,Diesel,54072,277,1,Yes
GLC,2021,Global,Blue,Diesel,72063,371,1,Yes
GLB,2024,Global,Grey,Hybrid,66896,203,1,No
GLE,2023,Global,White,Petrol,114137,504,1,Yes
S-Class,2021,Global,Grey,Petrol,149314,329,1,Yes
A-Class,2022,Global,White,Petrol,66588,158,1,Yes
GLC,2024,Global,Green,Hybrid,143938,493,1,Yes
GLS,2024,Global,Black,Petrol,163837,424,1,Yes
C-Class,2022,Global,Red,Petrol,77453,245,1,Yes
GLE,2022,Global,White,Petrol,115188,420,1,Yes
C-Class,2020,Global,Grey,Petrol,71244,242,1,Yes
A-Class,2022,Global,Silver,Petrol,56530,292,1,Yes
GLC,2024,Global,Black,Electric,132962,492,1,Yes
E-Class,2022,Global,Red,Petrol,95127,237,1,Yes
GLA,2021,Global,Grey,Diesel,39957,204,1,Yes
AMG C 63,2024,Global,Black,Electric,387783,496,1,Yes
GLC,2020,Global,Grey,Petrol,118560,255,1,No
GLA,2024,Global,Silver,Hybrid,42060,388,1,Yes
GLE,2021,Global,White,Petrol,99673,529,1,Yes
E-Class,2024,Global,Orange,Hybrid,62263,529,1,Yes
AMG C 63,2025,Global,Grey,Diesel,204252,476,1,Yes
GLE,2022,Global,White,Petrol,122980,270,1,Yes
GLA,2021,Global,Silver,Diesel,79484,270,1,Yes
GLE,2021,Global,Silver,Petrol,98138,488,1,Yes
A-Class,2020,Global,Grey,Petrol,67289,374,1,Yes
GLE,2020,Global,Red,Petrol,86252,292,1,Yes
C-Class,2025,Global,Blue,Hybrid,48078,351,1,Yes
AMG C 63,2023,Global,White,Electric,177888,491,1,Yes
S-Class,2023,Global,Black,Petrol,194321,751,1,Yes
A-Class,2024,Global,Red,Diesel,54432,169,1,Yes
CLA,2025,Global,White,Hybrid,53252,336,1,Yes
GLS,2021,Global,Yellow,Petrol,133802,552,1,Yes
GLC,2025,Global,Grey,Hybrid,162483,469,1,Yes
GLE,2020,Global,Grey,Diesel,60456,320,1,Yes
E-Class,2020,Global,Black,Petrol,57891,475,1,Yes
CLS,2025,Global,White,Hybrid,49358,394,1,Yes
AMG A 45,2025,Global,White,Electric,242433,395,1,No
GLC,2021,Global,White,Petrol,67608,250,1,Yes
G-Class,2022,Global,Silver,Diesel,259825,430,1,Yes
A-Class,2020,Global,Silver,Petrol,68415,396,1,Yes
GLE,2022,Global,Grey,Diesel,153213,425,1,Yes
GLB,2020,Global,White,Diesel,58322,338,1,No
CLA,2023,Global,White,Petrol,67462,312,1,Yes
A-Class,2023,Global,Black,Petrol,56737,179,1,Yes
C-Class,2020,Global,Black,Diesel,82731,484,1,Yes
GLE,2021,Global,Grey,Petrol,130561,607,1,Yes
A-Class,2020,Global,Yellow,Petrol,39961,346,1,No
E-Class,2022,Global,Black,Petrol,78985,563,1,Yes
A-Class,2021,Global,Blue,Diesel,77123,158,1,No
G-Class,2021,Global,Black,Petrol,135890,492,1,Yes
GLC,2021,Global,White,Petrol,110172,424,1,Yes
GLC,2024,Global,Blue,Diesel,77624,479,1,No
A-Class,2020,Global,Blue,Petrol,86063,344,1,Yes
CLA,2024,Global,Silver,Electric,73257,362,1,Yes
GLE,2020,Global,White,Petrol,140434,488,1,Yes
GLE,2023,Global,Brown,Hybrid,73390,430,1,Yes
A-Class,2023,Global,White,Diesel,89176,380,1,Yes
GLE,2023,Global,Black,Petrol,123466,583,1,Yes
GLB,2025,Global,Silver,Diesel,86235,256,1,Yes
GLS,2024,Global,Silver,Hybrid,336082,443,1,Yes
AMG GT,2021,Global,White,Petrol,352340,656,1,Yes
A-Class,2025,Global,Black,Hybrid,92075,238,1,Yes
GLE,2020,Global,Blue,Petrol,122006,485,1,Yes
A-Class,2021,Global,Black,Petrol,87634,364,1,No
E-Class,2020,Global,Grey,Petrol,70132,388,1,Yes
GLC,2022,Global,White,Diesel,119683,237,1,Yes
CLA,2022,Global,Silver,Petrol,83966,272,1,Yes
GLE,2023,Global,Black,Petrol,130082,480,1,Yes
GLC,2021,Global,Red,Diesel,87479,216,1,Yes
GLC,2024,Global,Blue,Petrol,112723,293,1,No
GLA,2022,Global,White,Hybrid,63014,224,1,Yes
A-Class,2021,Global,Blue,Petrol,81983,403,1,Yes
G-Class,2022,Global,Grey,Diesel,243641,494,1,Yes
A-Class,2020,Global,White,Petrol,61149,239,1,Yes
E-Class,2025,Global,Grey,Electric,76625,541,1,Yes
GLA,2024,Global,Silver,Petrol,87194,316,1,Yes
GLS,2020,Global,Blue,Diesel,236448,411,1,No
GLE,2025,Global,Grey,Hybrid,161469,326,1,Yes
A-Class,2022,Global,White,Petrol,39963,405,1,Yes
GLA,2023,Global,Grey,Hybrid,92257,420,1,Yes
GLS,2020,Global,Green,Petrol,201463,364,1,Yes
GLB,2021,Global,Black,Petrol,37769,366,1,Yes
GLB,2020,Global,Blue,Diesel,79373,409,1,Yes
GLE,2024,Global,Green,Hybrid,107895,275,1,Yes
GLB,2023,Global,Yellow,Diesel,62341,280,1,Yes
E-Class,2020,Global,White,Petrol,39616,224,1,No
CLA,2025,Global,Yellow,Hybrid,58822,377,1,Yes
A-Class,2020,Global,Silver,Petrol,74398,322,1,Yes
GLA,2021,Global,Blue,Petrol,77578,386,1,Yes
A-Class,2021,Global,Black,Diesel,72536,269,1,Yes
GLE,2022,Global,Silver,Hybrid,67950,348,1,Yes
E-Class,2023,Global,Blue,Hybrid,65569,275,1,Yes
E-Class,2025,Global,Grey,Petrol,70601,552,1,Yes
G-Class,2025,Global,Blue,Electric,352348,572,1,Yes
GLE,2021,Global,White,Hybrid,145257,549,1,Yes
GLB,2020,Global,Black,Petrol,82962,235,1,No
